Symbol,Company,Sector,Industry,Current_Price,Market_Cap_B,PE_Ratio,PB_Ratio,EV_EBIT,ROE,ROA,ROIC,Operating_Margin,Earnings_Growth,Revenue_Growth,Debt_to_Equity,FCF_Yield,Dividend_Yield,DCF_Value_Gap,Fair_Value,Classification,Valuation_Tag
AAPL,Apple Inc.,Information Technology,Software,255.41,153.53,29.21,3.74,11.29,22.73,9,14.3,23.14,16.95,16.34,1.93,4.25,0.26,-6.52,238.76,Growth,GROWTH – Watchlist
MSFT,Microsoft Corp.,Information Technology,Hardware,260.19,442.28,24.48,5.02,27.96,17.79,7,11.27,18.22,11.41,15.36,0.86,4.43,1.28,5.27,273.9,Blend,BLEND – Mixed
NVDA,NVIDIA Corp.,Information Technology,Software,147.43,404.29,33.51,7.08,17.55,19.86,8,16.77,15.94,20.61,9.7,1.53,4.73,0.8,11.4,164.23,Growth,GROWTH – Momentum
ADBE,Adobe Inc.,Information Technology,Hardware,247.42,477.4,32.77,7.25,21.05,17.51,7,14.04,14.78,12.84,19.1,0.95,2.6,1.91,0.59,248.87,Growth,GROWTH – Watchlist
ORCL,Oracle Corp.,Information Technology,Semiconductors,171.27,480.24,34.94,5.84,15.74,22.77,9,17.06,25.68,23.04,11.26,1.6,2.3,3.36,-9.63,154.77,Growth,GROWTH – Momentum
CRM,Salesforce Inc.,Information Technology,Software,117.84,271.83,22.77,3.98,19.74,21.64,9,16.64,13.44,11.52,18.92,0.45,1.21,1.74,-10.28,105.73,Blend,BLEND – Mixed
CSCO,Cisco Systems Inc.,Information Technology,Software,252.07,88.82,31.27,4.19,21.81,21.22,8,12.88,12.07,19.22,15.53,1.87,5.99,1.64,15.05,290.01,Growth,GROWTH – Momentum
INTC,Intel Corp.,Information Technology,IT Services,272.42,158.04,31.46,7.55,13.46,22.52,9,16.59,22.05,15.9,14.7,0.3,4.14,3.86,-14.78,232.15,Growth,GROWTH – Watchlist
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,293.12,453.67,22.86,6.58,17.94,8.14,3,5.52,15.97,11.07,14.79,0.24,2.69,3.71,-2.5,285.8,Blend,BLEND – Mixed
JNJ,Johnson & Johnson,Health Care,Biotechnology,32.99,189.99,23.3,4.32,20.75,18.11,7,13.73,12.93,13.95,4.33,1.73,2.67,1.65,11.82,36.89,Blend,BLEND – Mixed
PFE,Pfizer Inc.,Health Care,Health Services,223.14,215.02,19.43,2.19,26.67,9.33,4,5.68,21.9,11.68,9.67,1.41,2.07,0.25,16.88,260.8,Blend,BLEND – Mixed
MRK,Merck & Co Inc.,Health Care,Medical Devices,116.58,161.83,15.2,4.43,10.35,14.51,6,11.61,16.35,10.34,8.11,1.29,2.6,3.27,-3.19,112.86,Blend,BLEND – Mixed
UNH,UnitedHealth Group Inc.,Health Care,Medical Devices,49.45,449.77,15.95,3.78,15.25,18.35,7,12.77,11.39,7.37,11.58,1.45,5.89,0.59,5.38,52.11,Blend,BLEND – Mixed
ABT,Abbott Laboratories,Health Care,Health Services,126.83,52.2,16.57,3.62,28.72,13.35,5,10.06,19.48,9.06,5.31,1.09,6.25,1.53,13.24,143.62,Blend,BLEND – Mixed
LLY,Eli Lilly and Co.,Health Care,Medical Devices,53.31,466.29,20.37,3.24,21.87,15.01,6,12.28,14.89,6.92,8.55,0.63,4.01,1.97,12.77,60.12,Blend,BLEND – Mixed
TMO,Thermo Fisher Scientific Inc.,Health Care,Medical Devices,261.09,423.78,20.81,3.27,18.18,17.48,7,13.72,17.37,9.46,7.75,1.91,5.1,0.15,-1.98,255.93,Blend,BLEND – Mixed
AMGN,Amgen Inc.,Health Care,Pharmaceuticals,254.71,56.7,22.01,3.38,11.18,21.21,8,14.73,25.55,8.59,9.89,0.97,2.68,0.95,-1.88,249.92,Blend,BLEND – Mixed
BMY,Bristol-Myers Squibb Co.,Health Care,Health Services,81.62,473.37,20.15,2.12,13.29,5.46,2,3.54,14.04,10.35,8.65,0.99,2.11,3.4,16.98,95.48,Blend,BLEND – Mixed
JPM,JPMorgan Chase & Co.,Financials,Banks,281.12,205.31,21.85,3.26,28.84,22.91,9,18.46,13.93,10.95,9.25,0.34,2.27,2.16,14.03,320.57,Blend,BLEND – Mixed
BAC,Bank of America Corp.,Financials,Banks,154.99,399.41,24.46,2.96,16.94,15.0,6,12.01,20.35,7.21,5.4,0.93,4.32,1.49,17.87,182.68,Blend,BLEND – Mixed
WFC,Wells Fargo & Co.,Financials,Insurance,127.32,239.92,21.03,4.11,15.12,5.46,2,3.99,18.05,12.21,4.71,0.51,6.21,1.24,-13.56,110.06,Blend,BLEND – Mixed
C,Citigroup Inc.,Financials,Consumer Finance,270.98,132.58,22.07,4.08,28.28,17.5,7,15.01,20.33,11.53,11.6,1.37,2.39,0.52,9.66,297.15,Blend,BLEND – Mixed
GS,Goldman Sachs Group Inc.,Financials,Banks,251.5,278.85,19.09,4.98,11.22,16.73,7,10.6,26.07,6.77,11.25,0.51,6.71,2.95,-2.82,244.42,Blend,BLEND – Mixed
MS,Morgan Stanley,Financials,Consumer Finance,92.65,325.07,15.98,3.27,12.43,20.81,8,14.13,10.0,12.08,3.21,1.55,4.67,1.42,-13.22,80.4,Blend,BLEND – Mixed
BLK,BlackRock Inc.,Financials,Banks,258.13,472.22,16.21,4.16,25.43,12.63,5,9.18,29.77,9.59,4.36,1.13,2.46,2.76,-5.12,244.91,Blend,BLEND – Mixed
AXP,American Express Co.,Financials,Capital Markets,81.81,345.84,21.03,2.44,15.98,7.92,3,5.33,19.72,13.62,8.74,1.74,1.07,0.15,5.62,86.41,Growth,GROWTH – Watchlist
V,Visa Inc.,Financials,Consumer Finance,119.41,456.13,18.17,2.13,16.49,12.14,5,8.28,27.67,13.56,6.84,0.79,1.52,3.76,-17.53,98.48,Blend,BLEND – Mixed
AMZN,Amazon.com Inc.,Consumer Discretionary,Retail,75.71,294.38,15.73,2.71,12.32,24.38,10,18.07,14.45,10.39,11.25,1.33,6.31,0.12,-10.46,67.79,Blend,BLEND – Mixed
TSLA,Tesla Inc.,Consumer Discretionary,Restaurants,35.02,495.73,15.35,4.28,17.17,11.06,4,7.29,28.47,6.13,7.62,0.47,1.29,0.49,-8.97,31.88,Blend,BLEND – Mixed
HD,Home Depot Inc.,Consumer Discretionary,Consumer Durables,91.11,172.15,20.15,3.5,20.67,21.73,9,15.1,10.1,9.29,8.8,1.98,2.81,3.1,13.27,103.2,Blend,BLEND – Mixed
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,236.13,459.61,19.98,2.47,11.18,11.24,4,7.15,22.21,11.96,4.29,1.52,5.12,3.97,16.81,275.83,Blend,BLEND – Mixed
NKE,Nike Inc.,Consumer Discretionary,Retail,192.41,457.08,22.57,3.03,23.47,15.38,6,10.38,14.82,13.5,11.04,0.81,6.82,1.87,18.25,227.53,Growth,GROWTH – Watchlist
SBUX,Starbucks Corp.,Consumer Discretionary,Retail,160.2,198.12,22.31,2.24,26.86,5.57,2,4.36,21.95,9.04,10.82,0.63,3.36,2.88,-5.49,151.4,Blend,BLEND – Mixed
TGT,Target Corp.,Consumer Discretionary,Retail,184.95,362.54,24.23,3.29,29.8,14.34,6,12.72,26.34,11.85,11.71,1.54,2.03,1.34,-15.52,156.24,Blend,BLEND – Mixed
LOW,Lowe's Cos. Inc.,Consumer Discretionary,Automobiles,297.6,482.27,24.29,3.36,15.5,11.17,4,6.94,24.4,13.09,4.95,1.39,4.99,1.81,-9.77,268.53,Blend,BLEND – Mixed
BKNG,Booking Holdings Inc.,Consumer Discretionary,Automobiles,67.79,359.56,15.73,4.27,29.27,15.85,6,11.63,27.65,9.45,11.82,1.89,3.6,1.14,-8.81,61.82,Blend,BLEND – Mixed
GOOGL,Alphabet Inc. Class A,Communication Services,Telecom,170.49,99.49,20.47,6.23,26.15,5.92,2,4.72,11.05,22.56,8.85,0.65,1.11,2.64,-10.68,152.29,Growth,GROWTH – Momentum
META,Meta Platforms Inc.,Communication Services,Entertainment,104.0,248.89,22.95,4.6,18.83,13.27,5,8.05,28.31,14.89,16.7,0.98,2.62,2.09,-0.17,103.82,Growth,GROWTH – Watchlist
NFLX,Netflix Inc.,Communication Services,Telecom,72.14,96.03,29.34,5.3,17.41,17.25,7,14.68,18.71,15.05,19.81,1.56,2.72,2.4,-3.38,69.7,Growth,GROWTH – Watchlist
DIS,Walt Disney Co.,Communication Services,Media,121.5,469.72,27.51,4.63,19.88,24.18,10,17.68,26.87,24.81,11.67,1.33,4.01,3.08,8.27,131.55,Growth,GROWTH – Momentum
CMCSA,Comcast Corp.,Communication Services,Media,237.52,263.17,25.92,7.42,20.92,5.04,2,3.7,10.77,10.14,14.39,0.52,2.41,2.17,16.78,277.38,Blend,BLEND – Mixed
VZ,Verizon Communications Inc.,Communication Services,Interactive Media,272.98,365.77,25.82,6.48,27.89,16.8,7,11.75,20.88,11.69,19.13,0.5,6.63,3.25,1.07,275.9,Blend,BLEND – Mixed
T,AT&T Inc.,Communication Services,Telecom,96.24,210.51,27.04,7.51,23.46,13.31,5,11.79,26.92,23.02,18.09,0.9,1.96,2.66,13.2,108.94,Growth,GROWTH – Momentum
TMUS,T-Mobile US Inc.,Communication Services,Media,64.23,228.45,22.63,4.29,28.52,23.47,9,19.58,27.98,16.86,8.79,1.18,5.67,0.41,-16.69,53.51,Growth,GROWTH – Watchlist
EA,Electronic Arts Inc.,Communication Services,Entertainment,239.87,452.86,20.99,5.15,19.85,22.01,9,15.58,12.62,13.14,15.05,0.49,4.47,1.03,-4.88,228.16,Growth,GROWTH – Watchlist
HON,Honeywell International Inc.,Industrials,Machinery,169.47,410.53,24.29,4.09,20.44,16.34,7,14.5,15.53,5.29,3.99,0.56,4.18,0.58,-6.34,158.73,Blend,BLEND – Mixed
UNP,Union Pacific Corp.,Industrials,Machinery,74.73,244.43,22.4,3.1,19.43,10.57,4,9.25,26.72,7.09,6.51,1.55,3.53,2.93,-10.54,66.85,Blend,BLEND – Mixed
UPS,United Parcel Service Inc.,Industrials,Machinery,234.46,357.35,20.59,2.9,14.8,21.89,9,15.18,19.0,6.33,10.44,0.93,4.37,3.29,-15.28,198.64,Blend,BLEND – Mixed
CAT,Caterpillar Inc.,Industrials,Aerospace,104.42,176.88,24.24,3.53,22.38,7.94,3,4.99,18.65,9.46,3.12,0.77,3.69,1.15,18.26,123.49,Blend,BLEND – Mixed
GE,General Electric Co.,Industrials,Aerospace,189.27,267.25,16.95,4.06,14.88,19.75,8,13.77,17.45,5.3,10.22,0.55,4.18,3.59,16.97,221.39,Blend,BLEND – Mixed
MMM,3M Co.,Industrials,Building Products,223.81,392.96,24.34,3.32,28.2,22.41,9,15.61,23.75,14.32,11.11,1.09,1.41,0.95,17.5,262.97,Growth,GROWTH – Watchlist
BA,Boeing Co.,Industrials,Building Products,281.31,475.25,22.95,2.47,29.13,6.45,3,5.61,16.63,11.13,5.51,1.1,5.21,2.99,-7.29,260.79,Blend,BLEND – Mixed
LMT,Lockheed Martin Corp.,Industrials,Aerospace,88.53,483.47,17.97,2.31,22.63,14.18,6,11.73,24.69,8.47,5.61,1.42,6.26,2.84,17.52,104.04,Blend,BLEND – Mixed
RTX,Raytheon Technologies Corp.,Industrials,Transportation,233.23,474.15,24.4,4.7,23.15,24.87,10,21.46,14.64,14.89,8.11,0.51,6.42,0.96,3.44,241.26,Growth,GROWTH – Watchlist
PG,Procter & Gamble Co.,Consumer Staples,Food Retail,209.49,173.56,18.88,2.32,24.9,14.31,6,11.47,23.01,4.34,3.01,1.08,2.78,1.21,10.85,232.23,Blend,BLEND – Mixed
KO,Coca-Cola Co.,Consumer Staples,Household Products,232.46,456.04,17.89,1.87,17.62,7.28,3,4.65,28.85,6.41,3.15,1.09,5.27,3.09,19.6,278.03,Blend,BLEND – Mixed
PEP,PepsiCo Inc.,Consumer Staples,Food Retail,82.81,67.77,16.96,3.45,24.46,12.17,5,10.22,12.41,7.47,4.26,1.4,6.11,1.22,5.13,87.06,Blend,BLEND – Mixed
WMT,Walmart Inc.,Consumer Staples,Food & Beverage,209.28,230.4,13.36,2.61,19.27,10.85,4,8.1,15.63,3.95,1.67,1.99,5.71,0.12,7.8,225.6,Blend,BLEND – Mixed
COST,Costco Wholesale Corp.,Consumer Staples,Food & Beverage,251.86,189.19,18.79,1.63,16.65,19.23,8,16.35,29.22,6.73,2.21,0.8,2.69,0.53,19.2,300.21,Blend,BLEND – Mixed
PM,Philip Morris International Inc.,Consumer Staples,Household Products,181.17,247.53,16.93,1.98,12.97,21.97,9,14.79,11.8,5.52,2.07,1.58,4.72,2.98,11.14,201.35,Value,VALUE – Fairly Valued
MO,Altria Group Inc.,Consumer Staples,Food & Beverage,201.52,31.53,15.32,1.71,16.58,18.44,7,14.3,10.55,5.09,4.39,0.88,6.25,0.35,9.96,221.59,Blend,BLEND – Mixed
EL,Estee Lauder Cos. Inc.,Consumer Staples,Food Retail,75.32,111.86,15.25,3.09,27.14,8.01,3,6.03,14.31,7.97,2.9,0.83,4.18,3.14,-19.24,60.83,Blend,BLEND – Mixed
CL,Colgate-Palmolive Co.,Consumer Staples,Household Products,49.73,478.77,19.86,2.79,12.48,18.72,7,14.41,18.4,5.86,1.59,1.86,3.33,0.04,-17.01,41.27,Blend,BLEND – Mixed
XOM,Exxon Mobil Corp.,Energy,Oil & Gas,253.45,273.57,24.64,3.51,22.25,8.52,3,6.52,28.67,5.89,9.35,1.04,6.96,1.96,17.47,297.73,Blend,BLEND – Mixed
CVX,Chevron Corp.,Energy,Pipelines,132.11,355.04,16.26,3.71,11.7,8.25,3,5.45,25.45,14.7,10.9,1.8,6.84,3.99,-6.74,123.21,Growth,GROWTH – Watchlist
COP,ConocoPhillips,Energy,Refining,115.94,33.14,15.45,4.37,14.61,16.84,7,12.54,27.6,8.22,4.06,1.13,4.48,2.45,1.19,117.32,Blend,BLEND – Mixed
EOG,EOG Resources Inc.,Energy,Pipelines,228.7,497.3,20.35,4.11,27.49,14.9,6,10.15,20.96,10.9,9.4,0.25,6.28,1.99,7.33,245.46,Blend,BLEND – Mixed
SLB,Schlumberger NV,Energy,Energy Equipment,176.78,110.48,17.97,2.27,10.26,12.57,5,10.67,19.08,8.4,5.4,1.29,1.98,2.98,-4.04,169.63,Blend,BLEND – Mixed
PSX,Phillips 66,Energy,Pipelines,164.76,297.89,23.33,3.72,23.16,6.16,2,4.98,28.87,10.16,10.52,1.26,2.6,1.08,-17.82,135.4,Blend,BLEND – Mixed
VLO,Valero Energy Corp.,Energy,Refining,295.93,330.78,18.01,3.37,28.01,11.83,5,8.87,20.45,12.99,7.84,0.49,2.52,1.79,19.08,352.39,Blend,BLEND – Mixed
OXY,Occidental Petroleum Corp.,Energy,Oil & Gas,270.54,492.87,24.92,4.45,21.37,19.67,8,13.84,17.97,12.4,9.95,0.89,1.23,2.15,-13.21,234.79,Growth,GROWTH – Watchlist
MPC,Marathon Petroleum Corp.,Energy,Refining,285.41,80.72,18.42,2.28,23.9,23.25,9,15.06,27.17,8.67,11.56,1.1,2.98,1.42,-0.44,284.16,Blend,BLEND – Mixed
NEE,NextEra Energy Inc.,Utilities,Renewable Energy,150.4,148.12,13.06,1.86,11.02,8.64,3,7.14,11.85,4.71,1.41,1.17,2.64,1.56,-12.02,132.32,Value,VALUE – Overvalued
DUK,Duke Energy Corp.,Utilities,Renewable Energy,116.85,188.2,16.97,3.05,27.22,22.31,9,17.24,26.95,2.02,4.79,0.97,5.18,0.62,4.41,122.0,Blend,BLEND – Mixed
SO,Southern Co.,Utilities,Electric Utilities,287.5,113.37,19.23,2.02,23.38,14.66,6,11.28,22.57,3.14,3.96,0.3,5.44,0.58,-16.63,239.69,Blend,BLEND – Mixed
D,Dominion Energy Inc.,Utilities,Water Utilities,83.9,18.7,14.03,2.12,28.89,9.36,4,7.3,23.78,6.89,5.21,1.32,1.87,0.59,-2.3,81.97,Blend,BLEND – Mixed
AEP,American Electric Power Co. Inc.,Utilities,Renewable Energy,92.42,474.17,13.85,2.75,10.24,16.7,7,11.17,10.32,4.22,1.35,1.14,5.41,2.3,9.71,101.39,Blend,BLEND – Mixed
XEL,Xcel Energy Inc.,Utilities,Water Utilities,187.21,27.81,19.41,1.5,25.66,12.14,5,10.07,21.37,3.59,1.27,0.48,2.04,3.63,9.22,204.48,Blend,BLEND – Mixed
ED,Consolidated Edison Inc.,Utilities,Gas Utilities,106.8,431.77,16.19,1.95,22.08,14.97,6,11.75,22.94,3.7,4.56,0.85,4.16,2.19,-16.09,89.62,Blend,BLEND – Mixed
EXC,Exelon Corp.,Utilities,Gas Utilities,49.55,354.15,18.64,2.8,23.11,6.83,3,6.08,11.18,5.17,3.03,0.86,5.09,1.36,-5.77,46.69,Blend,BLEND – Mixed
SRE,Sempra Energy,Utilities,Electric Utilities,75.73,158.55,15.15,2.76,11.59,16.1,6,13.42,12.5,7.84,2.64,0.54,6.16,3.45,-4.05,72.66,Blend,BLEND – Mixed
AMT,American Tower Corp.,Real Estate,Real Estate Management,147.76,377.52,18.71,2.96,13.65,12.03,5,8.77,16.37,6.81,2.92,0.94,4.6,0.7,-16.64,123.17,Blend,BLEND – Mixed
PLD,Prologis Inc.,Real Estate,Real Estate Development,261.2,430.81,12.21,3.2,10.4,24.31,10,20.06,16.28,6.25,2.85,0.57,1.33,2.46,2.68,268.21,Blend,BLEND – Mixed
CCI,Crown Castle Inc.,Real Estate,Real Estate Development,166.34,314.03,19.66,1.99,13.21,12.81,5,11.35,29.65,6.0,4.25,0.48,6.82,2.48,-8.27,152.59,Blend,BLEND – Mixed
EQIX,Equinix Inc.,Real Estate,Real Estate Development,52.53,57.14,14.87,2.69,21.45,18.92,8,16.95,23.78,7.61,1.17,0.68,4.62,0.85,6.74,56.07,Blend,BLEND – Mixed
PSA,Public Storage,Real Estate,Real Estate Management,295.29,148.44,12.63,2.16,26.29,6.53,3,4.57,11.77,5.77,3.17,0.99,5.75,0.05,-16.25,247.31,Blend,BLEND – Mixed
O,Realty Income Corp.,Real Estate,Real Estate Services,99.2,318.34,13.03,2.24,20.75,23.66,9,14.43,22.77,4.41,5.95,1.71,3.83,2.76,1.28,100.47,Blend,BLEND – Mixed
WELL,Welltower Inc.,Real Estate,Real Estate Services,55.87,146.11,12.9,1.97,11.47,14.87,6,9.44,21.53,2.1,5.99,0.28,2.53,3.12,-19.63,44.9,Value,VALUE – Overvalued
DLR,Digital Realty Trust Inc.,Real Estate,REITs,146.73,206.69,16.18,3.0,14.79,12.1,5,8.66,29.85,5.87,3.32,1.55,2.68,3.94,-17.6,120.9,Blend,BLEND – Mixed
SPG,Simon Property Group Inc.,Real Estate,Real Estate Development,178.48,155.75,13.69,1.55,12.11,23.11,9,15.68,27.86,7.19,4.69,1.97,4.46,3.82,5.33,187.99,Value,VALUE – Fairly Valued
LIN,Linde plc,Materials,Paper & Forest Products,291.91,66.18,24.02,3.33,16.02,19.15,8,14.38,18.35,8.19,9.56,1.64,6.62,0.26,7.35,313.36,Blend,BLEND – Mixed
ECL,Ecolab Inc.,Materials,Metals & Mining,252.76,233.19,20.78,2.73,15.66,18.27,7,14.55,23.54,5.21,8.33,0.96,1.66,0.19,-18.58,205.8,Blend,BLEND – Mixed
SHW,Sherwin-Williams Co.,Materials,Construction Materials,191.52,34.52,15.71,2.63,17.42,21.06,8,14.92,10.52,10.93,9.02,1.96,6.82,0.41,11.54,213.62,Blend,BLEND – Mixed
APD,Air Products and Chemicals Inc.,Materials,Paper & Forest Products,226.75,183.98,20.67,3.11,13.72,15.87,6,10.03,20.8,7.07,10.56,1.27,6.23,0.22,15.32,261.48,Blend,BLEND – Mixed
FCX,Freeport-McMoRan Inc.,Materials,Chemicals,227.48,60.74,21.65,2.99,26.97,18.09,7,13.63,10.75,13.31,3.02,1.43,2.24,1.75,8.27,246.3,Blend,BLEND – Mixed
NEM,Newmont Corp.,Materials,Construction Materials,159.61,110.98,15.42,4.77,26.13,13.37,5,11.96,24.44,6.58,9.19,0.79,1.7,2.85,-13.87,137.48,Blend,BLEND – Mixed
NUE,Nucor Corp.,Materials,Paper & Forest Products,134.24,386.76,24.23,3.49,23.09,22.85,9,16.02,29.01,10.09,8.88,0.86,1.72,0.59,5.94,142.21,Blend,BLEND – Mixed
DD,DuPont de Nemours Inc.,Materials,Construction Materials,217.29,340.15,21.69,3.28,17.04,22.04,9,15.36,22.54,6.1,11.76,1.09,2.87,1.96,11.75,242.82,Blend,BLEND – Mixed
DOW,Dow Inc.,Materials,Construction Materials,91.24,227.0,22.29,4.12,18.69,14.31,6,12.21,28.72,5.19,5.44,1.44,5.41,2.62,-5.71,86.03,Blend,BLEND – Mixed
